Restaurant ID,Restaurant Name,City,Address,Locality Verbose,Longitude,Latitude,Cuisines,Average_Cost_for_two,Has Table booking,Has Online delivery,Price_range,Aggregate_rating,Rating text,Votes
31,Khyen Chyen,Gurgaon,"G 11, DLF Cross Point Mall, Opposite Galleria Market, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.0832475,28.4683741,Kashmiri,800,1,1,2,3.7,Good,364
32,The Pint Room,Gurgaon,"1st Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.0830226,28.4683973,"Finger Food, Continental, Italian",1700,1,0,3,3.7,Good,127
33,Tughlaq,Gurgaon,"Shop 217, 2nd Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.08390966,28.46844136,"North Indian, Mughlai, Chinese, Seafood",1000,0,1,3,3.5,Good,351
34,Big Wong XL,Gurgaon,"116, 117, & 13No, 1st Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.0834723,28.4681716,"Chinese, Thai, Sushi",1500,1,1,3,4,Very Good,162
35,Bunker,Gurgaon,"Shop 2No4-2No6, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.0831126,28.4682267,"Continental, North Indian, Chinese, Italian",1300,1,0,3,4.2,Very Good,248
36,Culture Cafe,Gurgaon,"2nd Floor, Cross Point Mall, DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.0837421,28.4681975,"Mediterranean, Continental",1500,1,1,3,4.2,Very Good,144
37,Nowhere Terrace Brewpub Cafe,Gurgaon,"2nd Floor, Cross Point Mall, Galleria Market DLF Phase 4, Gurgaon","Cross Point Mall, DLF Phase 4, Gurgaon",77.083048,28.468314,"Continental, European, Asian, North Indian, Chinese, Italian",1600,1,0,3,4.1,Very Good,214
38,Cafe G - Crowne Plaza,Gurgaon,"Crowne Plaza, NH-8, Sector 29, Gurgaon","Crowne Plaza, Sector 29, Gurgaon",77.0600891,28.4684326,"North Indian, Continental, Chinese",3500,1,0,4,3.9,Good,181
39,Wildfire - Crowne Plaza,Gurgaon,"Crowne Plaza, National Highway 8, Sector 29, Gurgaon","Crowne Plaza, Sector 29, Gurgaon",77.0599093,28.4684152,South American,5000,1,0,4,3.7,Good,131
40,Isabella,Gurgaon,"KG-5 C, Ground Floor, Tower C, Cyber Greens, DLF Cyber City, Gurgaon","Cyber Greens, DLF Cyber City, Gurgaon",77.0928243,28.4937229,"North Indian, Mughlai, Chinese",700,0,1,2,2.8,Average,191
41,Fatburger,Gurgaon,"1No2, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0882416,28.4947571,"American, Mexican",1000,1,1,3,3.3,Average,793
42,Burma Burma,Gurgaon,"Ground Floor, Shop 6, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0887329,28.4946295,"Asian, Burmese",1500,1,0,3,4.6,Excellent,563
43,Pier 38,Gurgaon,"Shop 1No6-1No7, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886429,28.4950691,"Persian, Arabian, Lebanese, North Indian",1200,0,0,3,4.6,Excellent,177
44,Yum Yum Cha,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0885987,28.4950762,"Chinese, Japanese, Sushi",1800,0,0,3,4.5,Excellent,407
45,Amici Cafe,Gurgaon,"Shop 15, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0889781,28.4955391,"Cafe, Italian, Pizza",1200,1,1,3,3.7,Good,647
46,Au Bon Pain,Gurgaon,"K-1, Ground Floor, Near Building 8, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088508,28.494832,"Cafe, Bakery",600,0,1,2,3.7,Good,503
47,California Pizza Kitchen,Gurgaon,"11, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4952975,"Pizza, Italian",2500,1,1,4,3.7,Good,980
48,Chai Point,Gurgaon,"K-5, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0888677,28.4952251,"Tea, Fast Food",200,0,1,1,3.7,Good,544
49,Cherry Comet,Gurgaon,"K-5/A, Near Building 8-B Entrance, Cyber hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0888677,28.4953148,"Ice Cream, Desserts",400,0,1,1,3.6,Good,455
50,Circus,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0888677,28.495763,"North Indian, Chinese, Italian",1250,1,0,3,3.9,Good,230
51,Dunkin' Donuts,Gurgaon,"K-3A, Cyber Hub, Phase 2, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0887329,28.4951674,"Burger, Desserts, Fast Food",600,0,1,2,3.8,Good,701
52,Holy Smoke,Gurgaon,"1No3, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0883732,28.4947742,"Steak, American",1800,1,0,3,3.6,Good,313
53,ItaliaNo,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088598,28.4951096,Italian,1500,1,0,3,3.6,Good,625
54,Krispy Kreme,Gurgaon,"K-4/A, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4952079,"Desserts, Beverages",350,0,1,1,3.9,Good,425
55,Not Just Paranthas,Gurgaon,"Shop 1No8, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088598,28.4951096,North Indian,1100,0,0,3,3.6,Good,734
56,Oh! Calcutta,Gurgaon,"9, Ground Floor, Cyber Hub, Opposite Gateway Towers, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4952079,"Bengali, Seafood",1700,1,1,3,3.8,Good,706
57,Olive Bistro,Gurgaon,"Shop 1No1, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0878786,28.4945922,"Mediterranean, Italian, European",2000,1,0,4,3.9,Good,1490
58,Pita Pit,Gurgaon,"K3-B, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886429,28.4950691,"Healthy Food, Salad",600,0,1,2,3.9,Good,870
59,Raasta,Gurgaon,"2nd Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0883732,28.4953121,"Continental, Italian",2000,1,1,4,3.8,Good,1065
60,Red Mango,Gurgaon,"K-4B, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4952079,"Cafe, Desserts",700,0,1,2,3.6,Good,365
61,Rred Hot Asian Bistro,Gurgaon,"11No, 1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4953871,"Chinese, Japanese, Thai, Asian",1400,1,1,3,3.5,Good,384
62,Smaaash,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0889127,28.4950054,"North Indian, Thai, Continental",1400,0,0,3,3.9,Good,622
63,Starbucks,Gurgaon,"Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0891982,28.4956457,Cafe,700,0,0,2,3.9,Good,560
64,Sutra Gastropub,Gurgaon,"2No1-2No2, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0883282,28.4948147,"Mediterranean, European, American, North Indian",2300,0,0,4,3.8,Good,1046
65,Taco Bell,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0883113,28.4942639,"Mexican, Fast Food",550,0,1,2,3.8,Good,176
66,The People & Co.,Gurgaon,"Ground Floor, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0887778,28.4949476,"Continental, Italian",1700,1,0,3,3.7,Good,173
67,Theobroma,Gurgaon,"Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4947597,"Bakery, Cafe",600,0,1,2,3.8,Good,227
68,Wendy's,Gurgaon,"2-A, UGF/A, Ground Floor, Building 1No, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0875189,28.4949162,"Burger, Fast Food",400,0,1,1,3.9,Good,296
69,The Wine Company,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0890476,28.4962285,"Italian, European",2000,1,0,4,2.4,Poor,2412
70,Cafe Delhi Heights,Gurgaon,"Shop 1No, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4952079,"Continental, American, Italian, Seafood, North Indian, Cafe",2000,0,0,4,4,Very Good,1840
71,Cyber Hub Social,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088508,28.4939356,"Continental, American, Asian, North Indian",1500,1,1,3,4.3,Very Good,716
72,Delifrance - The France Cafe Bakery,Gurgaon,"Building 1No, Tower B,  Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.08856095,28.49427139,"Cafe, Bakery, Desserts",800,1,1,2,4,Very Good,199
73,Dhaba By Claridges,Gurgaon,"1st Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4953871,North Indian,2000,1,1,4,4,Very Good,1658
74,Farzi Cafe,Gurgaon,"7-8, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0886879,28.4952079,Modern Indian,2200,0,0,4,4.3,Very Good,4385
75,Hard Rock Cafe,Gurgaon,"Unit 4/5/1No4/1No5, R Block, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088508,28.4949217,"Mediterranean, Mexican, North Indian, American",2500,1,0,4,4.1,Very Good,1949
76,Instapizza,Gurgaon,"Unit 2A, Building 1No, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0882383,28.494089,"Pizza, Fast Food",900,1,1,2,4,Very Good,219
77,Made In Punjab,Gurgaon,"6-7, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088598,28.4951096,"North Indian, Mughlai",1500,1,0,3,4,Very Good,1595
78,Nando's,Gurgaon,"Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0888677,28.4954941,"Portuguese, African",1200,1,1,3,4,Very Good,1730
79,Quaff,Gurgaon,"Tower B, Building 1No, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0880651,28.4944224,"American, Italian, Chinese",1750,1,0,3,4.1,Very Good,353
80,SodaBottleOpenerWala,Gurgaon,"3, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.088508,28.494832,"Parsi, Iranian",1300,0,0,3,4,Very Good,2843
81,The Grill Mill,Gurgaon,"Unit 1A, Ground Floor, Building 1No, Tower C, DLF Cyber City, Gurgaon","Cyber Hub, DLF Cyber City, Gurgaon",77.0884689,28.4940704,"North Indian, Continental, Asian",1500,1,0,3,4,Very Good,209
82,Knight Rider,Gurgaon,"Near DLF Phase 2 Rapid Metro Station, DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon",77.0933407,28.4877882,"North Indian, Continental",1200,1,0,3,3.1,Average,185
83,Chaayos,Gurgaon,"Ground Floor, Tower B Atrium, Building 5, Near Indian Oil Petrol Pump, DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon",77.0921049,28.4897992,"Cafe, Tea",400,0,1,1,3.8,Good,393
84,Nooba,Gurgaon,"Premises 2G, Building 1No, Tower A, DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon",77.0875639,28.4942482,Chinese,1500,0,0,3,3.8,Good,333
85,DomiNo's Pizza,Gurgaon,"UGF/RTC 9, Building 8, Tower C, DLF- 2, DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon",77.0890476,28.4945253,"Pizza, Fast Food",700,0,0,2,2.4,Poor,125
86,Indigo Delicatessen,Gurgaon,"UGF/B/2C, Building 1NoB, DLF Cyber Hub, Gurgaon, DLF Cyber City, Gurgaon","DLF Cyber City, Gurgaon",77.0884181,28.4940166,"European, Continental",1800,1,1,3,4.2,Very Good,205
87,Escape Terrace Bar Kitchen,Gurgaon,"R-2, Level 2, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0822133,28.4671541,Finger Food,1700,1,0,3,3.4,Average,294
88,Kwaliti,Gurgaon,"SF-71, 1st Floor, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0817637,28.4672902,"North Indian, Chinese, Fast Food",700,0,1,2,3.3,Average,129
89,Subway,Gurgaon,"SG-1No2, Ground Floor, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0814039,28.4676142,"American, Fast Food, Salad, Healthy Food",500,0,0,2,2.5,Average,125
90,Burger Point,Gurgaon,"SF-27, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0823032,28.4672524,"Burger, Fast Food",300,0,1,1,3.8,Good,74
91,Chaat Chowk,Gurgaon,"SF-44, 1st Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0821234,28.4670558,Street Food,350,0,1,1,3.7,Good,217
92,Chef Style,Gurgaon,"SF 89-81, 1st Floor, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0817637,28.4673798,"North Indian, Mughlai",700,1,1,2,3.8,Good,239
93,Delhicacy,Gurgaon,"SF-14, 1st Floor, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0823032,28.4674317,"Street Food, Fast Food, North Indian",350,0,1,1,3.8,Good,317
94,Dimsum & Co.,Gurgaon,"1st Floor, SF 9No, Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0818119,28.4674661,Chinese,650,0,1,2,3.9,Good,136
95,Instapizza,Gurgaon,"SF-NoNo8, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0821234,28.467504,"Pizza, Fast Food",900,1,1,2,3.6,Good,426
96,L'Opera,Gurgaon,"22, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0824381,28.4671309,"Bakery, Desserts, Fast Food",400,0,1,1,3.8,Good,196
97,Lazeez Food,Gurgaon,"SF-124 & SG - 48, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.081314,28.4670676,"Mughlai, North Indian",800,0,1,2,3.5,Good,173
98,Le Marche Sugar & Spice Cafe,Gurgaon,"1No5, Ground Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0812241,28.4675073,"Cafe, Italian, Fast Food",700,0,0,2,3.5,Good,52
99,The Breakfast Club,Gurgaon,"SF-35, 1st Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0819435,28.4671282,"Continental, North Indian",500,0,1,2,3.5,Good,189
100,Sugar & Spice - Le Marche,Gurgaon,"SG-84 & 85, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0812241,28.4671487,"Bakery, Fast Food",800,0,0,2,2.4,Poor,88
101,Crudo Juicery,Gurgaon,"SF-85, Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0819435,28.4674868,"Beverages, Salad",400,0,1,1,4.3,Very Good,154
102,Fork with Stick,Gurgaon,"SF-12, 1st Floor, DLF Galleria Market, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0823032,28.4674317,Chinese,800,1,1,2,4,Very Good,169
103,Uptown Fresh Beer Cafe,Gurgaon,"1No6, DLF Galleria, DLF Phase 4, Gurgaon","DLF Galleria, DLF Phase 4, Gurgaon",77.0812241,28.4675073,"Finger Food, North Indian, Italian, European, Continental",2500,0,0,4,4.1,Very Good,230
104,Barista,Gurgaon,"Lower Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09313545,28.47582155,Cafe,650,0,1,2,3.2,Average,18
105,Cafe Coffee Day,Gurgaon,"Upper Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09359512,28.47548941,Cafe,450,0,0,1,2.6,Average,27
106,DomiNo's Pizza,Gurgaon,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09308315,28.47577587,"Pizza, Fast Food",700,0,0,2,2.8,Average,30
107,ItaliaNo,Gurgaon,"7, Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09323503,28.47573225,Italian,1500,0,0,3,3,Average,49
108,McDonald's,Gurgaon,"314-315, Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09302582,28.47586163,"Fast Food, Burger",500,0,0,2,2.6,Average,30
109,Parantha Gurus,Gurgaon,"5, Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09312875,28.47574493,North Indian,500,0,0,2,3.3,Average,27
110,Pizza Hut Delivery,Gurgaon,"Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09333964,28.47626303,"Italian, Pizza, Fast Food",800,0,1,2,2.8,Average,29
111,Sibang Bakery,Gurgaon,"First Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09336612,28.47581065,"Bakery, Desserts, Fast Food",300,0,0,1,3.3,Average,13
112,Sonya Bakery Cafe,Gurgaon,"Lower Ground Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.093094,28.4759094,"Bakery, Desserts, Beverages",350,0,0,1,3.3,Average,20
113,Subway,Gurgaon,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09308684,28.47568922,"American, Fast Food, Salad, Healthy Food",500,0,0,2,3.1,Average,46
114,Viva Hyderabad,Gurgaon,"Food Court, 3rd Floor, DLF Mega Mall, DLF Phase 1, Gurgaon","DLF Mega Mall, DLF Phase 1, Gurgaon",77.09311534,28.4756627,"Biryani, North Indian",600,0,1,2,2.5,Average,69
